I eu
you tu
he el
we noi
you voi
they ei
this acesta
that acela
here aici
there acolo
who cine
what ce
where unde
when când
how cum
not	nu
all	tot
many mulţi
some nişte
few	puţin
other alt
one	unu
two	doi
three trei
four patru
five cinci
big	mare
long lung
wide larg
thick gros
heavy greu
small mic
short scurt
narrow strâmt
thin subțire, slab
woman femeie, muiere
man bărbat
man om
child copil
wife soţie
husband	soţ
mother mamă
father tată
animal animal
fish peşte
bird pasăre
dog	câine
louse păduche
snake şarpe
worm vierme
tree arbore, copac
forest pădure
stick băţ
fruit fruct
seed sămânţă
leaf frunză
root rădăcină
bark scoarţă
flower floare
grass iarbă
rope sfoară, frânghie
skin piele
meat carne
blood sânge
bone os
fat grăsime
egg	ou
horn corn
tail coadă
feather	pană
hair păr
head cap
ear	ureche
eye	ochi
nose nas
mouth gură
tooth dinte
tongue limbă
fingernail unghie
leg	picior
knee genunchi
hand mână
wing aripă
belly burtă
guts măruntaie
neck gât
back spate
breast piept
heart inimă
liver ficat
sun	soare
moon lună
star stea
water apă
rain ploaie
river râu
lake lac
sea	mare
salt sare
stone piatră
sand nisip
dust praf
earth pământ
cloud nor
fog	ceaţă
sky	cer
wind vânt
snow zăpadă
ice	gheaţă
smoke fum
fire foc
ash	cenuşă
burn arde
road drum
mountain munte
red	roşu
green verde
yellow galben
white alb
black negru
night noapte
day	zi
year an
warm cald
cold rece
full plin
new	nou
old	vechi
good bun
bad	rău
rotten putred
dirty murdar
straight drept
round rotund
sharp ascuţit
dull tocit
smooth neted
wet	umed
dry	uscat
correct	drept
near apropiat
far	departe
right drept
